2020-04-26 18:31:53.099 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426183153094 Your order has been refunded 54fb89.eml"
2020-04-26 18:31:53.099 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 18:34:32.351 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 18:34:32.358 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426183432353 You have Succesfully Created a Ticket 8dda92.eml"
2020-04-26 18:34:32.358 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 18:34:46.358 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 18:34:46.364 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426183446360 Your order has been refunded d56d1a.eml"
2020-04-26 18:34:46.365 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 18:36:35.252 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 18:36:35.258 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426183635254 Account for Vortex Rentals succesfully bb3f09.eml"
2020-04-26 18:36:35.259 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 18:36:48.767 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 18:36:48.774 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426183648769 You have Succesfully Created a Ticket 31bb33.eml"
2020-04-26 18:36:48.775 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 19:53:51.689 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 19:53:51.715 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426195351692 Account for Vortex Rentals succesfully 70876b.eml"
2020-04-26 19:53:51.716 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 19:53:53.895 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 19:53:53.966 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426195353898 Account for Vortex Rentals succesfully 05a657.eml"
